Player,Team,Age,"Matches played
(23/24)",Minutes played,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Passes to final third per 90,"Accurate passes to final third, %",Progressive passes per 90,"Accurate progressive passes, %"
CB1,Elgin City,25.0,31.0,2658.0,10.46,6.58,71.28,7.84,66.07,1.04,0.77,5.0,6.77,0.98,4.37,43.2,7.1,62.56
CB2,Elgin City,35.0,29.0,2436.0,10.76,6.98,63.84,5.24,56.39,0.93,0.39,5.64,7.81,1.26,4.85,43.09,6.7,54.12
CB3,Elgin City,17.0,33.0,2880.0,10.87,6.17,71.35,5.0,50.67,0.09,0.67,6.4,8.71,0.83,4.77,40.56,7.53,51.77
CB4,Elgin City,22.0,26.0,2400.0,12.08,7.76,74.4,8.06,53.02,0.46,0.49,5.96,8.1,0.56,3.0,45.0,5.89,46.5
CB5,Montrose,25.0,29.0,2437.0,12.76,8.17,70.73,6.26,58.6,0.53,0.76,6.54,7.95,0.6,7.66,48.96,9.17,62.17
CB6,Spartans,26.0,26.0,2414.0,10.36,5.97,76.25,5.97,65.0,0.28,0.6,5.63,8.36,0.3,9.02,54.96,10.7,70.03
CB7,Peterhead,33.0,31.0,2875.0,10.08,4.88,69.23,6.57,65.71,0.68,0.53,6.29,10.56,0.5,10.55,54.01,12.99,69.4
CB8,Edinburgh City,38.0,13.0,845.0,14.49,5.33,74.0,3.41,65.63,0.63,0.85,10.01,11.9,0.64,7.03,43.94,8.52,68.75
CB9,Cove Rangers,26.0,24.0,1849.0,11.44,7.16,68.71,6.33,56.92,0.73,0.68,5.99,8.13,0.78,8.91,49.18,9.93,63.73
CB10,Stirling Albion,34.0,33.0,3147.0,11.87,6.95,74.49,8.78,61.56,1.29,0.57,5.72,7.6,0.71,3.12,64.22,7.44,53.46
CB11,Montrose,25.0,9.0,528.0,12.51,8.03,67.44,8.78,55.32,2.2,0.75,5.6,8.26,0.93,8.03,48.84,7.66,82.93
CB12,Cove Rangers,21.0,25.0,1682.0,13.26,10.08,65.24,2.8,53.85,1.24,0.54,5.77,7.83,1.62,8.08,64.67,11.53,77.57
CB13,Cove Rangers,25.0,22.0,1778.0,10.25,5.29,70.21,6.53,63.79,0.15,0.34,6.42,8.72,0.73,5.69,60.4,9.01,70.0
CB14,Clyde,28.0,13.0,1230.0,16.02,9.15,68.8,4.61,58.73,1.43,1.32,8.56,10.45,0.8,2.71,54.05,6.88,47.87
CB15,Alloa Athletic,28.0,33.0,2984.0,11.07,5.68,72.32,8.67,62.59,0.11,1.12,6.87,8.15,0.8,7.19,45.09,9.53,63.3
CB16,Forfar Athletic,25.0,32.0,2970.0,12.12,8.64,64.91,10.94,55.12,0.8,0.42,5.97,8.76,1.91,7.91,52.49,8.82,64.95
CB17,Alloa Athletic,23.0,24.0,2076.0,9.59,6.55,68.12,6.84,62.5,0.17,0.52,4.98,5.94,0.95,4.65,48.98,7.03,60.14
CB18,Annan Athletic,29.0,9.0,846.0,8.21,5.48,71.74,4.05,50.0,0.91,0.48,3.57,4.55,0.71,6.55,47.27,7.86,63.64
CB19,Queen of the South,27.0,30.0,2357.0,7.54,4.33,73.39,7.23,52.75,0.11,0.48,4.29,5.79,0.52,5.12,54.26,5.96,60.0
CB20,Peterhead,19.0,28.0,2140.0,9.25,6.39,61.18,3.62,54.65,0.63,0.34,4.96,8.27,0.84,5.59,57.14,6.94,63.64
CB21,Dumbarton,19.0,19.0,1682.0,11.13,8.78,62.2,5.4,49.5,0.16,0.27,5.56,8.5,0.86,5.67,51.89,6.26,62.39
CB22,Clyde,18.0,10.0,440.0,11.05,9.2,57.78,2.25,54.55,0.57,0.41,5.32,7.36,0.61,4.5,40.91,6.75,45.45
CB23,Clyde,28.0,19.0,1817.0,10.01,6.64,72.39,4.9,51.52,0.68,0.79,4.71,6.42,0.64,2.77,41.07,5.89,46.22
CB24,Stranraer,21.0,33.0,2986.0,12.81,8.11,69.52,9.04,50.0,0.38,0.66,6.9,9.57,0.81,6.3,44.02,9.43,50.16
CB25,Clyde,20.0,31.0,2357.0,12.03,7.7,70.1,8.06,66.5,0.53,0.52,6.23,8.34,1.59,6.19,35.9,7.27,56.83
League Two Average,,25.61904761904762,23.476190476190474,1973.3333333333333,11.326190476190478,7.0719047619047615,68.98809523809526,6.240000000000001,57.847142857142856,0.6766666666666667,0.6166666666666666,5.994761904761906,8.162380952380953,0.8499999999999999,6.3447619047619055,50.58333333333334,8.36047619047619,62.03000000000001
