Player,Team,Age,Matches played,Minutes played,Goals,Aerial duels per 90,"Aerial duels won, %",Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %",Dribbles per 90,"Successful dribbles, %",Touches in box per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90
CF1,Cove Rangers,26.0,18.0,1485.0,2.0,5.15,22.35,6.12,0.12,0.31,2.18,41.67,6.73,62.16,4.79,12.48,2.79,0.73
CF2,Elgin City,28.0,27.0,1293.0,2.0,16.08,40.79,2.68,0.14,0.27,1.55,40.91,3.1,45.45,3.17,10.58,3.1,0.78
CF3,Athlone Town,21.0,5.0,130.0,0.0,22.85,39.39,0.0,0.0,0.25,1.38,0.0,2.77,0.0,2.77,7.62,0.69,0.69
CF4,Edinburgh City,24.0,15.0,444.0,2.0,4.05,15.0,3.45,0.41,0.18,1.62,75.0,3.04,53.33,1.01,7.5,1.22,0.2
CF5,Cove Rangers,23.0,34.0,3014.0,21.0,7.78,33.47,4.16,0.63,0.54,2.29,56.94,6.1,41.67,5.37,13.24,3.14,1.18
CF6,Peterhead,37.0,27.0,1993.0,8.0,13.28,43.54,2.89,0.36,0.4,2.57,28.07,4.38,44.33,4.7,14.09,3.52,1.26
CF7,East Fife,30.0,30.0,2542.0,13.0,14.41,42.93,3.22,0.46,0.35,2.18,49.18,3.9,45.87,3.18,9.08,3.25,1.64
CF8,Hamilton Academical,25.0,14.0,847.0,7.0,9.67,32.97,3.83,0.74,0.78,4.25,45.0,4.04,36.84,5.53,10.09,2.13,0.43
CF9,Bonnyrigg Rose Athletic,33.0,27.0,1149.0,5.0,11.98,33.99,3.52,0.39,0.52,3.05,35.9,3.92,56.0,4.54,10.1,3.37,1.1
CF10,Cove Rangers,22.0,31.0,1231.0,5.0,3.05,26.83,3.87,0.37,0.36,2.91,43.59,3.5,48.94,3.35,13.71,1.71,1.34
CF11,Peterhead,22.0,32.0,2813.0,9.0,7.97,28.92,2.85,0.29,0.36,1.66,51.92,2.94,50.0,3.39,10.46,2.69,2.56
CF12,Clyde,25.0,16.0,1417.0,8.0,7.3,29.57,3.75,0.51,0.6,3.56,48.21,3.75,49.15,3.87,9.27,3.37,0.89
CF13,Annan Athletic,26.0,31.0,2551.0,10.0,16.62,50.11,2.65,0.35,0.49,2.88,44.74,2.54,46.27,5.19,8.94,3.37,1.55
CF14,Falkirk,25.0,35.0,2808.0,14.0,9.61,48.45,1.55,0.45,0.51,2.51,44.74,0.89,29.63,5.85,15.1,3.01,0.5
CF15,Hamilton Academical,25.0,20.0,686.0,5.0,6.96,23.91,2.42,0.66,0.42,2.72,44.44,3.03,35.0,3.63,9.38,3.03,1.36
CF16,East Kilbride,26.0,17.0,854.0,5.0,5.59,18.87,2.95,0.53,0.34,2.63,48.0,3.06,37.93,3.79,13.38,1.9,0.53
CF17,Annan Athletic,27.0,31.0,2831.0,11.0,5.77,43.75,5.5,0.35,0.23,1.74,45.28,7.4,46.46,2.36,18.41,1.8,2.29
CF18,Falkirk,28.0,29.0,854.0,5.0,2.87,29.63,2.77,0.53,0.56,2.87,55.56,2.23,47.62,4.04,27.66,1.7,0.96
CF19,Dumbarton,27.0,15.0,621.0,3.0,7.68,39.62,4.2,0.43,0.25,2.9,45.0,3.48,45.83,3.48,10.72,2.03,1.16
CF20,Stenhousemuir,27.0,9.0,357.0,4.0,6.55,15.38,3.78,1.01,0.42,2.27,88.89,3.03,50.0,2.52,7.06,2.27,1.51
League Two Average,,26.75,24.875,1660.5,8.3125,8.568125,33.87125,3.3693750000000007,0.50375,0.44562500000000005,2.686875,48.466249999999995,3.636875,44.47125,4.0493749999999995,12.543125,2.6431250000000004,1.26625
