Player,Team,Age,Matches played,Minutes played,Conceded goals,Conceded goals per 90,xG against,xG against per 90,Prevented goals,Prevented goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",Exits per 90,Aerial duels per 90
GK1,Elgin City,28.0,35.0,3317.0,53.0,1.52,52.31,1.5,-0.69,-0.02,149.0,4.27,5.0,64.43,1.75,0.83
GK2,Elgin City,20.0,1.0,93.0,3.0,2.9,2.14,2.07,-0.86,-0.832,6.0,5.81,0.0,50.0,0.0,0.0
GK3,Falkirk,22.0,17.0,1611.0,14.0,0.83,13.16,0.78,-0.84,-0.05,42.0,2.49,7.0,66.67,1.72,0.83
GK4,Dumbarton,27.0,14.0,1348.0,12.0,0.8,17.15,1.15,5.15,0.344,52.0,3.47,5.0,76.92,2.0,1.0
GK5,Hamilton Academical,32.0,11.0,1040.0,7.0,0.61,10.52,0.91,3.52,0.305,48.0,4.15,6.0,85.42,1.64,0.35
GK6,Stenhousemuir,33.0,34.0,3235.0,25.0,0.74,28.06,0.83,3.06,0.09,107.0,3.15,19.0,76.64,2.24,0.82
GK7,Clyde,23.0,13.0,1245.0,14.0,1.01,14.05,1.02,0.05,0.004,50.0,3.61,5.0,72.0,1.59,0.65
GK8,Falkirk,21.0,19.0,1822.0,13.0,0.64,12.54,0.62,-0.46,-0.023,41.0,2.03,9.0,68.29,1.04,0.49
GK9,Dumbarton,20.0,18.0,1720.0,22.0,1.15,18.02,0.94,-3.98,-0.208,64.0,3.35,8.0,65.63,1.67,0.68
GK10,Stranraer,26.0,7.0,633.0,7.0,1.0,6.58,0.94,-0.42,-0.06,33.0,4.69,2.0,78.79,1.85,0.85
GK11,Spartans,28.0,27.0,2427.0,27.0,1.0,28.42,1.05,1.42,0.053,87.0,3.23,9.0,68.97,1.04,0.37
GK12,Alloa Athletic,27.0,9.0,801.0,12.0,1.46,14.44,1.76,2.44,0.297,47.0,5.72,1.0,74.47,3.77,0.73
GK13,Hamilton Academical,28.0,12.0,1078.0,3.0,0.35,2.82,0.33,-0.18,-0.021,9.0,1.06,5.0,66.67,1.42,0.35
GK14,Peterhead,36.0,35.0,3387.0,38.0,1.01,36.16,0.96,-1.84,-0.049,133.0,3.53,7.0,71.43,1.7,0.58
GK15,Annan Athletic,21.0,7.0,651.0,11.0,1.52,12.44,1.72,1.44,0.199,42.0,5.81,0.0,73.81,1.94,0.28
GK21,Forfar Athletic,31.0,35.0,3313.0,45.0,1.22,45.23,1.23,0.23,0.006,141.0,3.83,9.0,68.09,1.22,0.35
GK22,Cove Rangers,22.0,15.0,1426.0,26.0,1.64,22.47,1.42,-3.53,-0.223,84.0,5.3,3.0,69.05,2.02,0.25
GK23,Bonnyrigg Rose Athletic,24.0,35.0,3336.0,48.0,1.29,49.24,1.33,1.24,0.033,172.0,4.64,6.0,72.09,1.65,0.51
GK24,Larne,25.0,9.0,864.0,25.0,2.6,20.66,2.15,-4.34,-0.452,67.0,6.98,0.0,62.69,1.67,0.52
GK25,Raith Rovers,22.0,9.0,851.0,26.0,2.75,23.89,2.53,-2.11,-0.223,74.0,7.83,1.0,64.86,1.9,0.42
GK26,Queen of the South,22.0,23.0,2109.0,33.0,1.41,28.36,1.21,-4.64,-0.198,89.0,3.8,5.0,62.92,1.66,0.68
GK27,Alloa Athletic,26.0,29.0,2631.0,40.0,1.43,41.07,1.47,1.07,0.038,143.0,5.12,6.0,72.03,1.65,0.5
GK28,Annan Athletic,37.0,28.0,2610.0,47.0,1.74,49.42,1.83,2.42,0.09,136.0,5.04,1.0,65.44,1.44,0.63
L1 & L2 Average,,26.333333333333332,19.333333333333332,1816.095238095238,23.571428571428573,1.2476190476190476,23.557142857142857,1.2466666666666666,-0.014285714285714235,-0.0022857142857142837,79.0952380952381,4.23,5.428571428571429,70.61333333333334,1.753809523809523,0.5638095238095238
